Date,Income,Category,Amount
2024-03-01,Monthly Salary - Tech Corp,salary,8500.00
2024-03-02,Freelance Web Development,consulting,1200.00
2024-03-05,Dividend Payment - AAPL,investment,350.75
2024-03-07,Rental Income - Apartment 3B,rent received,2200.00
2024-03-10,Online Course Sales,teaching,750.00
2024-03-12,Stock Trading Profit,investment,425.50
2024-03-15,Part-time Consulting,consulting,800.00
2024-03-18,Interest Income - Savings,interest,125.25
2024-03-20,YouTube Channel Revenue,content creation,680.00
2024-03-25,Airbnb Guest Payment,rent received,950.00
2024-03-28,Photography Gig,freelance,400.00
2024-03-30,Crypto Investment Return,investment,575.00 
